人	ひと	Une personne				
フランス人	フランスじん	Français				
１００人	ひゃくにん	Cent personnes				
５、６人	ご、ろくにん	Cinq ou six personnes				
あの人	あのひと	Cette personne; il; elle				
人々	ひとびと	Les gens				
一	いち	Un				
一ページ	いちページ	Une page				
一々	いちいち	Un par un; tous les détails				
一つ一つ	ひとつひとつ	Un par un (choses)				
一人	ひとり	Une personne, seul(e)				
一人一人	ひとりひとり	Un par un, un après l'autre (personnes)				
二	に	Deux				
二人	ふたり	Deux personnes				
一人二人	ひとりふたり	Une ou deux personnes				
二人ずつ	ふたりずつ	Deux par deux (personnes)				
二つずつ	ふたつずつ	Deux par deux (choses)				
二人とも	ふたりとも	Tous les deux (personnes)				
三	さん	Trois				
三人	さんにん	Trois personnes				
二、三人	に、さんにん	Deux ou trois personnes				
三キロ	さんキロ	3 kg; 3 km				
三つぞろい	みつぞろい	Complet-veston				
二つ三つ	ふたつみっつ	Deux ou trois				
一日	いちにち、いちじつ	Un jour				
一日	ついたち	Le premier du mois				
二日	ふつか	Le 2 (date); deux jours				
三日	みっか	Le 3 (date); trois jours				
二、三日	に、さんにち	Deux ou trois jours				
四	よん	Quatre				
四人	よにん	Quatre personnes				
四日	よっか	Le 4 (date); quatre jours				
三、四日	さん、よっか	Trois ou quatre jours				
三、四人	さん、よにん	Trois ou quatre personnes				
四つんばい	よつんばい	À quatre pattes				
五	ご	Cinq				
五人	ごにん	Cinq personnes				
五日	いつか	Le 5 (date); cinq jours				
四、五日	しごにち	Quatre ou cinq jours				
四、五人	しごにん	Quatre ou cinq personnes				
三々五々	さんさんごご	Par petits groupes				
六	ろく	Six				
六人	ろくにん	Six personnes				
五、六人	ご、ろくにん	Cinq ou six personnes				
六日	むいか	Le 6 (date); six jours				
五、六日	ご、ろくにち	Cinq ou six jours				
六つぐらい	むっつぐらい	Environ six				
七	なな	Sept				
七人	しちにん	Sept personnes				
七日	なのか	Le 7 (date); sept jours				
七メートル	ななメートル、しちメートル	7 mètres				
七五三	しちごさん	Fête des enfants de 3, 5 et 7 ans (15 nov.)				
八	はち	Huit				
八人	はちにん	Huit personnes				
八ミリ	ようか	8 mm				
八グラム	はちグラム	8 grammes				
お八つ	おやつ	Goûter (des enfants); léger repas				
九	きゅう	Neuf				
九人	きゅうにん	Neuf personnes				
九日	ここのか	Le 9 (date); neuf jours				
九ユーロ	きゅうユーロ	9 euros				
九ドル	きゅうドル	9 dollars				
九九	くく	Table de multiplication				
十	じゅう	Dix				
十人	じゅうにん	Dix personnes				
十日	とおか	Le 10 (date); dix jours				
二十日	はつか	Le 20 (date); vingt jours				
十四日	じゅうよっか	Le 14 (date); quatorze jours				
十八日	じゅうはちにち	Le 18 (date); dix-huit jours				
円	えん	Yen; cercle				
一円	いちえん	Un yen				
二円	にえん	Deux yens				
三円	さんえん	Trois yens				
四円	よえん	Quatre yens				
十円	じゅうえん、とおえん	Dix yens				
百	ひゃく	Cent				
百人	ひゃくにん	Cent personnes				
八百円	はっぴゃくえん	Huit cents yens				
九百	きゅうひゃく	Neuf cents				
三百六十五日	さんびゃくろくじゅうごにち	365 jours				
千	せん	Mille				
一千	いっせん	1000				
三千	さんぜん	3000				
八千	はっせん	8000				
千円	せんえん	1000 yens				
千人	せんにん	Mille personnes				
万	まん	Dix mille				
一万円	いちまんえん	Dix mille yens				
百万	ひゃくまん	Un million				
一千万円	いっせんまんえん	Dix millions de yens				
二、三万円	に、さんまんえん	20000-3000 yens				
万一	まんいち	Si par hasard; si jamais				
月	つき	Lune				
一月	いちがつ	Janvier				
一月	ひとつき	Un mois				
一か月	いっかげつ	Un mois				
一月八日	いちがつようか	Le 8 janvier				
月ロケット	つきロケット	Fusée lunaire				
明かり	あかり	Lumière, clarté				
明るい	あかるい	Clair				
明らか	あきらか	Clair				
明ける	あける	S'éclaircir				
明るむ	あかるむ	S'éclaircir				
明らむ	あからむ	S'éclaircir				
明く	あく	Se vider				
明かす	あかす	Passer (la nuit); divulguer				
明くる	あくる	Suivant				
明日	あした、あす、みょうにち	Demain				
明くる日	あくるひ	Le jour suivant				
日曜(日)	にちよう(び)	Dimanche				
月曜(日)	げつよう(び)	Lundi				
曜日	ようび	Jour de la semaine				
火	ひ	Feu				
火曜(日)	かよう(び)	Mardi				
９月４日（火）	くがつよっか（か）	Le (mardi) 4 septembre				
水	みず	Eau				
水曜(日)	すいよう(び)	Mercredi				
水がめ	みずがめ	Jarre				
水かさ	みずかさ	Hauteur/débit/volume d'eau (d'une rivière)				
木	き	Arbre				
木曜(日)	もくよう(び)	Jeudi				
三木	みき	Miki (nom de famille)				
八木	やぎ	Yagi (nom de famille)				
金	きん、かね	Or, de l'argent				
お金	おかね	Argent				
金曜(日)	きんよう(び)	Vendredi				
月・水・金	げっすいきん	Lundi, mercredi et vendredi				
金メダル	きんメダル	Médaille d'or				
金ぱく	きんぱく	Feuille d'or				
金もうけ	かねもうけ	Gain, profit				
土	つち	Terre				
土曜(日)	どよう(び)	Samedi				
土木	どぼく	Génie civil, travaux de construction				
土人	どじん	Natif, indigène				
土のう	どのう	Sac de sable				
本	ほん	Livre				
日本	にほん、にっぽん	Japon				
日本人	にほんじん、にっぽんじん	Japonais				
本日	ほんじつ	Aujourd'hui				
ビール六本	ビールろっぽん	Six bouteilles de bière				
大きい	おおきい	Grand, gros				
大いに	おおいに	Très				
大金	たいきん	Grosse somme d'argent				
大きさ	おおきさ	Grandeur				
大水	おおみず	Inondation				
大みそか	おおみそか	Le dernier jour de l'année, la Saint Sylvestre				
大人	おとな	Adulte				
小さい	ちいさい	Petit				
小人	こびと	Nain, nabot				
小人	しょうじん	Esprit étroit; personne insignifiante				
小人	しょうにん	Enfant				
大小	だいしょう	Grand et petit; dimension				
小金	こがね	Petite somme, petite fortune				
中	なか	Intérieur				
日本中	にほんじゅう、にっぽんじゅう	Dans tout le japon				
一日中	いちにちじゅう	Toute la journée				
日中	にっちゅう	Pendant la journée; Nippo-Chinois, Sino-Japonais				
風	かぜ	Vent				
風水	ふうすい	Vent et eau : feng shui				
風土	ふうど	Climat, caractère				
日本風	にほんふう	De style japonais				
中風	ちゅうぶう、ちゅうふう	Paralysie				
そよ風	そよかぜ	Brise				
雨	あめ	Pluie				
風雨	ふうう	Vent et pluie				
大雨	おおあめ	Pluie violente				
小雨	こさめ	Bruine				
雨水	あまみず	Eau de pluie				
にわか雨	にわかあめ	Averse				
下	した、もと	Bas, inférieur				
下げる	さげる	Abaisser, prononcer (sentence)				
下ろす	おろす	Abaisser, prononcer (sentence)				
下す	くだす	Abaisser, prononcer (sentence)				
下がる	さがる	Pendre				
下りる	おりる	Descendre				
下る	くだる	Descendre				
下さる	くださる	Donner				
下水	げすい	Égouts				
風下	かざしも	Sous le vent (côté)				
上	うえ	Haut, supérieur				
上げる	あげる	Élever				
上がる	あがる	Monter				
上る	のぼる	Monter				
上せる	のぼせる	Soulever (une question)				
上す	のぼす	Soulever (une question)				
川	かわ	Rivière				
川上	かわかみ	Amont				
川下	かわしも	Aval				
小川	こがわ	Ruisseau				
ライン川	ラインがわ	Le Rhin				
中川	なかがわ	Nakagawa (nom de famille)				
山	やま	Montagne				
山水	さんすい	Paysage				
火山	かざん	Paysage				
下山	げざん	Descente (d'une montagne)				
山々	やまやま	Montages				
山本	やまもと	Yamamoto (nom de famille)				
水田	すいでん	Rizière				
田中	たなか	Tanaka (nom de famille)				
本田	ほんだ	Honda (nom de famille)				
山田	やまだ	Yamada (nom de famille)				
下田	しもだ	Shimoda (ville de la péninsule d'Izu)				
畑	はたけ	Champ				
田畑	たはた	Rizières et champs				
みかん畑	みかんばたけ	Plantation de mandariniers				
小畑	おばた	Obata (nom de famille)				
刀	かたな	Sabre, épée				
日本刀	にほんとう	Sabre japonais				
大刀	だいとう	Grand sabre				
小刀	しょうとう	Petit sabre				
小刀	こがたな	Couteau de poche, canif				
一刀	いっとう	Une épée; un coup d'épée				
分	ふん	Minute				
分	ぶん	Portion				
分ける	わける	Diviser, partager, différencier				
分かつ	わかつ	Diviser, partager, différencier				
分かれる	わかれる	Se séparer				
分かる	わかる	Être clair; comprendre				
十分	じゅうぶん	Parfaitement, suffisamment				
十分	じゅっぷん、じっぷん	10 minutes				
十分の一	じゅうぶんのいち	Un dixième, 10%				
切る	きる	Couper				
切れる	きれる	Bien couper; se rompre; s'épuiser				
大切	たいせつ	Important, précieux				
一切れ	ひときれ	Un morceau, une tranche				
切り上げ	きりあげ	Fin; réévaluation				
切り下げ	きりさげ	Réduction; dévaluation				
国	くに	Pays				
大国	たいこく	Grand pays, grande puissance				
万国	ばんこく	Tous les pays				
六か国	ろっかこく	Six pays				
四国	しこく	Shikoku (île du Japon)				
中国	ちゅうごく	Chûgoku (région du Japon); Chine				
お寺	おてら	Temple				
国分寺	こくぶんじ	Kokubunji (nom de temple)				
山寺	やまでら	Temple de montagne				
寺田	てらだ	Terada (nom de famille)				
時	じ	Heure				
時	とき	Temps, heure				
四時二十分	よじにじゅぷん	4 heures 20				
一時	いちじ	Un instant; une heure				
一時	ひととき、いっとき	Un moment				
時々	ときどき	Parfois				
日時	にちじ	Date et heure, date temps				
間	あいだ	Intervalle; entre				
間	ま	Intervalle; entre; salle; espace; moment				
時間	じかん	Temps; heure				
中間	ちゅうかん	Milieu, intermédiaire				
人間	にんげん	Être humain, Homme				
間もなく	まもなく	Bientôt, dans un instant				
生きる	いきる	Vivre				
生ける	いける	Vivre				
生かす	いかす	Laisser vivre; exploiter				
生む	うむ	Porter (un enfant)				
生まれる	うまれる	Naître				
生やす	はやす	Faire pousser/pousser				
生える	はえる	Faire pousser/pousser				
生う	おう	Faire pousser/pousser				
生	なま	Cru				
年	とし	Année				
年	ねん	An				
生年月日	せいねんがっぴ	Date de naissance				
三年生	さんねんせい	Étudiant de troisième année				
五年間	ごねんかん	Pendant 5 ans				
年金	ねんきん	Pension, rente				
２０１１年９月４日	にせんじゅういちねんくがつよっか	4 septembre 2011				
以上	いじょう	Plus de; ci-dessus				
三時間以上	さんじかんいじょう	Plus de trois heures				
以下	いか	Moins de; ci-après; comme suit				
三つ以下	みっついか	Trois ou moins				
前	まえ	Devant; avant; antérieur				
以前	いぜん	Auparavant, précédemment				
前もって	まえもって	Au préalable, à l'avance				
人前(で)	ひとまえ(で)	En public				
分け前	わけまえ	Part, lot				
二人前	ふたりまえ、ににんまえ	Pour deux personnes				
後	あと	Après, ultérieur, reste				
後	のち	Après				
後ろ	うしろ	Derrière				
後れる	おくれる	Être en retard				
以後	いご	Par la suite; depuis lors				
前後	ぜんご	Environ; avant et arrière				
明後日	あさって、みょうごにち	Après-demain				
その後	そのご	Ensuite, plus tard				
午前	ごぜん	Matinée, matin				
午後	ごご	Après-midi				
午前中	ごぜんちゅう	Dans la matinée				
午後４時	ごごよじ	4 heures de l'après-midi				
午前も午後も	ごぜんもごごも	Le matin et l'après-midi				
先	さき	Plus tôt; précédent; priorité; futur; destination; pointe				
先日	せんじつ	Récemment; l'autre jour				
先月	せんげつ	Le mois dernier				
先々月	せんせんげつ	Il y a deux mois				
先生	せんせい	Professeur; maître; (honorifique)				
今	いま	Maintenant				
今日	こんにち、きょう	Aujourd'hui				
今月	こんげつ	Ce mois				
今年	ことし	Cette année				
今後	こんご	Désormais, à partir de maintenant				
今ごろ	いまごろ	À cette heure; à cette époque				
入る	はいる	Entrer, pénétrer				
入る	いる	Entrer, pénétrer				
入れる	いれる	Insérer; mettre; introduire; accepter				
入国	にゅうこく	Entrée (dans un pays)				
金入れ	かねいれ	Bourse, porte-monnaie				
日の入り	ひのいり	Coucher du soleil				
入り日	いりひ	Soleil couchant				
出す	だす	Sortir; envoyer; payer				
出る	でる	Sortir; paraître; prendre part; se produire				
出火	しゅっか	Déclaration d'incendie				
出入り	でいり	Entrées et sorties; fréquentation				
人出	ひとで	Affluence, foule				
日の出	ひので	Lever du soleil				
口	くち	Bouche				
人口	じんこう	Population				
入(り)口	いりぐち	Entrée				
出口	でぐち	Sortie				
川口	かわぐち	Embouchure, estuaire				
口出し	くちだし	Ingérence, immixtion				
目	め	Oeil; (suffixe pour nb. ordinaux)				
一目	いちもく、ひとめ	Coup d'oeil				
目上	めうえ	Supérieur (hiérarchique)				
目下	めした	Inférieur, subordonné				
目下	もっか	Actuellement, pour le moment				
三日目	さんにちめ	Le/au troisième jour				
耳	みみ	Oreille				
耳目	じもく	Oeil et oreille; attention				
中耳	ちゅうじ	Tympan				
耳たぶ	みみたぶ	Lobe de l'oreille				
手	て	Main				
上手	じょうず	Adroit, bon				
下手	へた	Malhabile, faible				
手本	てほん	Modèle, exemple				
切手	きって	Timbre				
小切手	こぎって	Chèque				
足	あし	Pied, jambe, patte; pas				
足	ソク	Numéral pour chaussures				
足る	たる	Suffire, être suffisant				
足りる	たりる	Suffire, être suffisant				
足す	たす	Ajouter				
身	み	Corps, personne; chair				
身上	しんじょう	Mérite, qualité, point fort				
身上	しんしょう	Fortune, biens				
出身	しゅっしん	Originaire de				
前身	ぜんしん	Antécédents, passé; vie antérieure				
身分	みぶん	Statut social, condition				
休む	やすむ	Se reposer/se détendre; prendre un jour de congé				
休める	やすめる	Mettre au repos				
休まる	やすまる	Être reposé/soulagé				
休日	きゅうじつ	Jour férié, congé				
休火山	きゅうかざん	Volcan éteint				
一休み	ひとやすみ	Pause, repos				
中休み	なかやすみ	Répit, interruption				
