ＸはＹです	1	1	1
～ですか	1	1	2
Nom1のNom2	1	1	3
これ / それ / あれ / どれ	1	2	1
この / その / あの / どの + Nom	1	2	2
ここ / そこ / あそこ / どこ	1	2	3
誰のNom	1	2	4
Nomも	1	2	5
Nomじゃないです	1	2	6
～ね / ～よ	1	2	7
Verb conjugation	1	3	1
Verb types and the "Present Tense"	1	3	2
Particles	1	3	3
Time References	1	3	4
～ませんか	1	3	5
Frequency Adverbs	1	3	6
Word Order	1	3	7
The Topic Particle は	1	3	8
Xがあります / います	1	4	1
Describing Where Things Are	1	4	2
Past Tense of です	1	4	3
Past Tense of Verbs	1	4	4
も	1	4	5
一時間	1	4	6
たくさん	1	4	7
と	1	4	8
Adjectives (present tense)	1	5	1
Adjectives (past tense)	1	5	2
Adjectives (noun modification)	1	5	3
好き(な)/嫌い(な)	1	5	4
〜ましょう/〜ましょうか	1	5	5
Counting	1	5	6
Te-form	1	6	1
〜てください	1	6	2
Describing two activities	1	6	3
〜てもいいです	1	6	4
〜てはいけません	1	6	5
～から	1	6	6
～ましょうか (offering assistance)	1	6	7
～ている (action in progress)	1	7	1
～ている (result of a change)	1	7	2
メアリーさんは髪が長いです	1	7	3
Adjective/Noun Te-forms for joining sentences	1	7	4
Verb Stem + に行く	1	7	5
Counting people	1	7	6
Short forms	1	8	1
Short forms in informal speech	1	8	2
Short forms in quoted speech: ～と思います	1	8	3
Short forms in quoted speech: ～と言っていました	1	8	4
～ないでください	1	8	5
Verbのが好きです / 上手です	1	8	6
The subject particleが	1	8	7
何かand何も	1	8	8
Past tense short forms	1	9	1
Past tense short forms in informal speech	1	9	2
Past tense short forms in quoted speed: ～と思います	1	9	3
Past tense short forms in quoted speech: ～と言っていました	1	9	4
Qualifying nouns with verbs and adjectives	1	9	5
もう～ました and まだ～ていません	1	9	6
Explanation から、Situation	1	9	7
Comparison between two items	1	10	1
Comparison among three or more items	1	10	2
Adjective / Noun + の	1	10	3
～つもりだ	1	10	4
Adjective + なる	1	10	5
どこかに / どこにも	1	10	6
で	1	10	7
～たい	1	11	1
～たり～たりする	1	11	2
～ことがある	1	11	3
Noun A や Noun B	1	11	4
～んです	1	12	1
～すぎる	1	12	2
～ほうがいいです	1	12	3
～ので	1	12	4
～なければいけません / ～なきゃいけません	1	12	5
～でしょうか	1	12	6
