人	ひと	Une personne			<span class="kanji">人<span class="furigana">ひと</span></span>			
フランス人	フランスじん	Français			フランス<span class="kanji">人<span class="furigana">じん</span></span>			
１００人	ひゃくにん	Cent personnes			<span class="kanji">１００人<span class="furigana">ひゃくにん</span></span>			
５、６人	ご、ろくにん	Cinq ou six personnes			<span class="kanji">５<span class="furigana">ご</span></span>、<span class="kanji">６人<span class="furigana">ろくにん</span></span>			
あの人	あのひと	Cette personne; il; elle			あの<span class="kanji">人<span class="furigana">ひと</span></span>			
人々	ひとびと	Les gens			<span class="kanji">人々<span class="furigana">ひとびと</span></span>			
一	いち	Un			<span class="kanji">一<span class="furigana">いち</span></span>			
一ページ	いちページ	Une page			<span class="kanji">一<span class="furigana">いち</span></span>ページ			
一々	いちいち	Un par un; tous les détails			<span class="kanji">一々<span class="furigana">いちいち</span></span>			
一つ一つ	ひとつひとつ	Un par un (choses)			<span class="kanji">一<span class="furigana">ひと</span></span>つ<span class="kanji">一<span class="furigana">ひと</span></span>つ			
一人	ひとり	Une personne, seul(e)			<span class="kanji">一人<span class="furigana">ひとり</span></span>			
一人一人	ひとりひとり	Un par un, un après l'autre (personnes)			<span class="kanji">一人一人<span class="furigana">ひとりひとり</span></span>			
二	に	Deux			<span class="kanji">二<span class="furigana">に</span></span>			
二人	ふたり	Deux personnes			<span class="kanji">二人<span class="furigana">ふたり</span></span>			
一人二人	ひとりふたり	Une ou deux personnes			<span class="kanji">一人二人<span class="furigana">ひとりふたり</span></span>			
二人ずつ	ふたりずつ	Deux par deux (personnes)			<span class="kanji">二人<span class="furigana">ふたり</span></span>ずつ			
二つずつ	ふたつずつ	Deux par deux (choses)			<span class="kanji">二<span class="furigana">ふた</span></span>つずつ			
二人とも	ふたりとも	Tous les deux (personnes)			<span class="kanji">二人<span class="furigana">ふたり</span></span>とも			
三	さん	Trois			<span class="kanji">三<span class="furigana">さん</span></span>			
三人	さんにん	Trois personnes			<span class="kanji">三人<span class="furigana">さんにん</span></span>			
二、三人	に、さんにん	Deux ou trois personnes			<span class="kanji">二<span class="furigana">に</span></span>、<span class="kanji">三人<span class="furigana">さんにん</span></span>			
三キロ	さんキロ	3 kg; 3 km			<span class="kanji">三<span class="furigana">さん</span></span>キロ			
三つぞろい	みつぞろい	Complet-veston			<span class="kanji">三<span class="furigana">み</span></span>つぞろい			
二つ三つ	ふたつみっつ	Deux ou trois			<span class="kanji">二<span class="furigana">ふた</span></span>つ<span class="kanji">三<span class="furigana">みっ</span></span>つ			
一日	いちにち、いちじつ	Un jour			<span class="kanji">一日<span class="furigana">いちにち</span></span>			
一日	ついたち	Le premier du mois			<span class="kanji">一日<span class="furigana">ついたち</span></span>			
二日	ふつか	Le 2 (date); deux jours			<span class="kanji">二日<span class="furigana">ふつか</span></span>			
三日	みっか	Le 3 (date); trois jours			<span class="kanji">三日<span class="furigana">みっか</span></span>			
二、三日	に、さんにち	Deux ou trois jours			<span class="kanji">二<span class="furigana">に</span></span>、<span class="kanji">三日<span class="furigana">さんにち</span></span>			
四	よん	Quatre			<span class="kanji">四<span class="furigana">よん</span></span>			
四人	よにん	Quatre personnes			<span class="kanji">四人<span class="furigana">よにん</span></span>			
四日	よっか	Le 4 (date); quatre jours			<span class="kanji">四日<span class="furigana">よっか</span></span>			
三、四日	さん、よっか	Trois ou quatre jours			<span class="kanji">三<span class="furigana">さん</span></span>、<span class="kanji">四日<span class="furigana">よっか</span></span>			
三、四人	さん、よにん	Trois ou quatre personnes			<span class="kanji">三<span class="furigana">さん</span></span>、<span class="kanji">四人<span class="furigana">よにん</span></span>			
四つんばい	よつんばい	À quatre pattes			<span class="kanji">四<span class="furigana">よ</span></span>つんばい			
五	ご	Cinq			<span class="kanji">五<span class="furigana">ご</span></span>			
五人	ごにん	Cinq personnes			<span class="kanji">五人<span class="furigana">ごにん</span></span>			
五日	いつか	Le 5 (date); cinq jours			<span class="kanji">五日<span class="furigana">いつか</span></span>			
四、五日	しごにち	Quatre ou cinq jours			<span class="kanji">四<span class="furigana">し</span></span>、<span class="kanji">五日<span class="furigana">ごにち</span></span>			
四、五人	しごにん	Quatre ou cinq personnes			<span class="kanji">四<span class="furigana">し</span></span>、<span class="kanji">五人<span class="furigana">ごにん</span></span>			
三々五々	さんさんごご	Par petits groupes			<span class="kanji">三々五々<span class="furigana">さんさんごご</span></span>			
六	ろく	Six			<span class="kanji">六<span class="furigana">ろく</span></span>			
六人	ろくにん	Six personnes			<span class="kanji">六人<span class="furigana">ろくにん</span></span>			
五、六人	ご、ろくにん	Cinq ou six personnes			<span class="kanji">五<span class="furigana">ご</span></span>、<span class="kanji">六人<span class="furigana">ろくにん</span></span>			
六日	むいか	Le 6 (date); six jours			<span class="kanji">六日<span class="furigana">むいか</span></span>			
五、六日	ご、ろくにち	Cinq ou six jours			<span class="kanji">五<span class="furigana">ご</span></span>、<span class="kanji">六日<span class="furigana">ろくにち</span></span>			
六つぐらい	むっつぐらい	Environ six			<span class="kanji">六<span class="furigana">むっ</span></span>つぐらい			
七	なな	Sept			<span class="kanji">七<span class="furigana">なな</span></span>			
七人	しちにん	Sept personnes			<span class="kanji">七人<span class="furigana">しちにん</span></span>			
七日	なのか	Le 7 (date); sept jours			<span class="kanji">七日<span class="furigana">なのか</span></span>			
七メートル	ななメートル、しちメートル	7 mètres			<span class="kanji">七<span class="furigana">なな / しち</span></span>メートル			
七五三	しちごさん	Fête des enfants de 3, 5 et 7 ans (15 nov.)			<span class="kanji">七五三<span class="furigana">しちごさん</span></span>			
八	はち	Huit			<span class="kanji">八<span class="furigana">はち</span></span>			
八人	はちにん	Huit personnes			<span class="kanji">八人<span class="furigana">はちにん</span></span>			
八日	ようか	Le 8 (date); huit jours			<span class="kanji">八日<span class="furigana">ようか</span></span>			
八ミリ	はちミリ	8 mm			<span class="kanji">八<span class="furigana">はち</span></span>ミリ			
八グラム	はちグラム	8 grammes			<span class="kanji">八<span class="furigana">はち</span></span>グラム			
お八つ	おやつ	Goûter (des enfants); léger repas			お<span class="kanji">八<span class="furigana">や</span></span>つ			
九	きゅう	Neuf			<span class="kanji">九<span class="furigana">きゅう</span></span>			
九人	きゅうにん	Neuf personnes			<span class="kanji">九人<span class="furigana">きゅうにん</span></span>			
九日	ここのか	Le 9 (date); neuf jours			<span class="kanji">九日<span class="furigana">ここのか</span></span>			
九ユーロ	きゅうユーロ	9 euros			<span class="kanji">九<span class="furigana">きゅう</span></span>ユーロ			
九ドル	きゅうドル	9 dollars			<span class="kanji">九<span class="furigana">きゅう</span></span>ドル			
九九	くく	Table de multiplication			<span class="kanji">九九<span class="furigana">くく</span></span>			
十	じゅう	Dix			<span class="kanji">十<span class="furigana">じゅう</span></span>			
十人	じゅうにん	Dix personnes			<span class="kanji">十人<span class="furigana">じゅうにん</span></span>			
十日	とおか	Le 10 (date); dix jours			<span class="kanji">十日<span class="furigana">とおか</span></span>			
二十日	はつか	Le 20 (date); vingt jours			<span class="kanji">二十日<span class="furigana">はつか</span></span>			
十四日	じゅうよっか	Le 14 (date); quatorze jours			<span class="kanji">十四日<span class="furigana">じゅうよっか</span></span>			
十八日	じゅうはちにち	Le 18 (date); dix-huit jours			<span class="kanji">十八日<span class="furigana">じゅうはちにち</span></span>			
円	えん	Yen; cercle			<span class="kanji">円<span class="furigana">えん</span></span>			
一円	いちえん	Un yen			<span class="kanji">一円<span class="furigana">いちえん</span></span>			
二円	にえん	Deux yens			<span class="kanji">二円<span class="furigana">にえん</span></span>			
三円	さんえん	Trois yens			<span class="kanji">三円<span class="furigana">さんえん</span></span>			
四円	よえん	Quatre yens			<span class="kanji">四円<span class="furigana">よえん</span></span>			
十円	じゅうえん、とおえん	Dix yens			<span class="kanji">十円<span class="furigana">じゅうえん</span></span>			
百	ひゃく	Cent			<span class="kanji">百<span class="furigana">ひゃく</span></span>			
百人	ひゃくにん	Cent personnes			<span class="kanji">百人<span class="furigana">ひゃくにん</span></span>			
八百円	はっぴゃくえん	Huit cents yens			<span class="kanji">八百円<span class="furigana">はっぴゃくえん</span></span>			
九百	きゅうひゃく	Neuf cents			<span class="kanji">九百<span class="furigana">きゅうひゃく</span></span>			
三百六十五日	さんびゃくろくじゅうごにち	365 jours			<span class="kanji">三百六十五日<span class="furigana">さんびゃくろくじゅうごにち</span></span>			
千	せん	Mille			<span class="kanji">千<span class="furigana">せん</span></span>			
一千	いっせん	1000			<span class="kanji">一千<span class="furigana">いっせん</span></span>			
三千	さんぜん	3000			<span class="kanji">三千<span class="furigana">さんぜん</span></span>			
八千	はっせん	8000			<span class="kanji">八千<span class="furigana">はっせん</span></span>			
千円	せんえん	1000 yens			<span class="kanji">千円<span class="furigana">せんえん</span></span>			
千人	せんにん	Mille personnes			<span class="kanji">千人<span class="furigana">せんにん</span></span>			
万	まん	Dix mille			<span class="kanji">万<span class="furigana">まん</span></span>			
一万円	いちまんえん	Dix mille yens			<span class="kanji">一万円<span class="furigana">いちまんえん</span></span>			
百万	ひゃくまん	Un million			<span class="kanji">百万<span class="furigana">ひゃくまん</span></span>			
一千万円	いっせんまんえん	Dix millions de yens			<span class="kanji">一千万円<span class="furigana">いっせんまんえん</span></span>			
二、三万円	に、さんまんえん	20000-3000 yens			<span class="kanji">二<span class="furigana">に</span></span>、<span class="kanji">三万円<span class="furigana">さんまんえん</span></span>			
万一	まんいち	Si par hasard; si jamais			<span class="kanji">万一<span class="furigana">まんいち</span></span>			
月	つき	Lune			<span class="kanji">月<span class="furigana">つき</span></span>			
一月	いちがつ	Janvier			<span class="kanji">一月<span class="furigana">いちがつ</span></span>			
一月	ひとつき	Un mois			<span class="kanji">一月<span class="furigana">ひとつき</span></span>			
一か月	いっかげつ	Un mois			<span class="kanji">一か月<span class="furigana">いっかげつ</span></span>			
一月八日	いちがつようか	Le 8 janvier			<span class="kanji">一月八日<span class="furigana">いちがつようか</span></span>			
月ロケット	つきロケット	Fusée lunaire			<span class="kanji">月<span class="furigana">つき</span></span>ロケット			
明かり	あかり	Lumière, clarté			<span class="kanji">明<span class="furigana">あ</span></span>かり			
明るい	あかるい	Clair			<span class="kanji">明<span class="furigana">あか</span></span>るい			
明らか	あきらか	Clair			<span class="kanji">明<span class="furigana">あき</span></span>らか			
明ける	あける	S'éclaircir			<span class="kanji">明<span class="furigana">あ</span></span>ける			
明るむ	あかるむ	S'éclaircir			<span class="kanji">明<span class="furigana">あか</span></span>るむ			
明らむ	あからむ	S'éclaircir			<span class="kanji">明<span class="furigana">あか</span></span>らむ			
明く	あく	Se vider			<span class="kanji">明<span class="furigana">あ</span></span>く			
明かす	あかす	Passer (la nuit); divulguer			<span class="kanji">明<span class="furigana">あ</span></span>かす			
明くる	あくる	Suivant			<span class="kanji">明<span class="furigana">あ</span></span>くる			
明日	あした、あす、みょうにち	Demain	当て字		<span class="kanji">明日<span class="furigana">あした</span></span>			
明くる日	あくるひ	Le jour suivant			<span class="kanji">明<span class="furigana">あ</span></span>くる<span class="kanji">日<span class="furigana">ひ</span></span>			
日曜(日)	にちよう(び)	Dimanche			<span class="kanji">日曜<span class="furigana">にちよう</span></span>(<span class="kanji">日<span class="furigana">び</span></span>)			
月曜(日)	げつよう(び)	Lundi			<span class="kanji">月曜<span class="furigana">げつよう</span></span>(<span class="kanji">日<span class="furigana">び</span></span>)			
曜日	ようび	Jour de la semaine			<span class="kanji">曜日<span class="furigana">ようび</span></span>			
火	ひ	Feu			<span class="kanji">火<span class="furigana">ひ</span></span>			
火曜(日)	かよう(び)	Mardi			<span class="kanji">火曜<span class="furigana">かよう</span></span>(<span class="kanji">日<span class="furigana">び</span></span>)			
９月４日（火）	くがつよっか（か）	Le (mardi) 4 septembre			<span class="kanji">９月４日<span class="furigana">くがつよっか</span></span>（<span class="kanji">火<span class="furigana">か</span></span>）			
水	みず	Eau			<span class="kanji">水<span class="furigana">みず</span></span>			
水曜(日)	すいよう(び)	Mercredi			<span class="kanji">水曜<span class="furigana">すいよう</span></span>(<span class="kanji">日<span class="furigana">び</span></span>)			
水がめ	みずがめ	Jarre			<span class="kanji">水<span class="furigana">みず</span></span>がめ			
水嵩	みずかさ	Hauteur/débit/volume d'eau (d'une rivière)		6	<span class="kanji">水嵩<span class="furigana">みずかさ</span></span>			
木	き	Arbre			<span class="kanji">木<span class="furigana">き</span></span>			
木曜(日)	もくよう(び)	Jeudi			<span class="kanji">木曜<span class="furigana">もくよう</span></span>(<span class="kanji">日<span class="furigana">び</span></span>)			
三木	みき	Miki (nom de famille)			<span class="kanji">三木<span class="furigana">みき</span></span>			
八木	やぎ	Yagi (nom de famille)			<span class="kanji">八木<span class="furigana">やぎ</span></span>			
金	きん	Or			<span class="kanji">金<span class="furigana">きん</span></span>			
お金	おかね	Argent			お<span class="kanji">金<span class="furigana">かね</span></span>			
金曜(日)	きんよう(び)	Vendredi			<span class="kanji">金曜<span class="furigana">きんよう</span></span>(<span class="kanji">日<span class="furigana">び</span></span>)			
月・水・金	げっすいきん	Lundi, mercredi et vendredi			<span class="kanji">月・水・金<span class="furigana">げっすいきん</span></span>			
金メダル	きんメダル	Médaille d'or			<span class="kanji">金<span class="furigana">きん</span></span>メダル			
金箔	きんぱく	Feuille d'or			<span class="kanji">金箔<span class="furigana">きんぱく</span></span>			
金もうけ	かねもうけ	Gain, profit			<span class="kanji">金<span class="furigana">かね</span></span>もうけ			
土	つち	Terre			<span class="kanji">土<span class="furigana">つち</span></span>			
